net,length_um
clknet_leaf_285_clk,90.3µm
_14739_,90.28µm
clknet_leaf_273_clk,90.26µm
_12075_,90.24µm
_22608_,90.21µm
_22334_,90.18µm
_15446_,90.17µm
_21590_,90.16µm
clknet_leaf_56_clk,90.16µm
clknet_leaf_131_clk,90.14µm
_08191_,90.12µm
u_pq.cell_key_w\[5\]\[12\],90.06µm
net1499,90.01µm
net85,89.98µm
net338,89.92µm
clknet_leaf_5_clk,89.9µm
pq_enq_key_r\[3\],89.84µm
_20452_,89.8µm
net1002,89.8µm
_08582_,89.78µm
clknet_leaf_241_clk,89.78µm
net1849,89.76µm
_15788_,89.72µm
net81,89.69µm
clknet_leaf_157_clk,89.68µm
clknet_leaf_175_clk,89.64µm
net761,89.62µm
clknet_leaf_323_clk,89.62µm
_06956_,89.58µm
_22617_,89.58µm
_04873_,89.5µm
_15760_,89.44µm
clknet_leaf_37_clk,89.44µm
_04925_,89.4µm
clknet_leaf_281_clk,89.36µm
scan_parallel\[1\],89.33µm
_12016_,89.32µm
clknet_leaf_29_clk,89.32µm
clknet_leaf_258_clk,89.32µm
_17701_,89.3µm
net1678,89.29µm
clknet_leaf_206_clk,89.28µm
_17254_,89.175µm
_03468_,89.16µm
net1746,89.15µm
_03944_,89.14µm
clknet_leaf_93_clk,89.14µm
net950,89.12µm
clknet_leaf_255_clk,89.12µm
_22568_,89.08µm
_11994_,89.04µm
u_ctrl.tick_count\[17\],89.04µm
_03571_,88.96µm
_17944_,88.89µm
_07009_,88.88µm
net1501,88.88µm
net1875,88.88µm
_16571_,88.87µm
clknet_leaf_247_clk,88.86µm
_05583_,88.82µm
_21469_,88.82µm
clknet_leaf_130_clk,88.8µm
_08095_,88.78µm
_14405_,88.74µm
clknet_leaf_185_clk,88.74µm
net1112,88.64µm
_06227_,88.62µm
_12689_,88.6µm
_00920_,88.58µm
_07754_,88.58µm
_09679_,88.56µm
_00774_,88.54µm
_11769_,88.54µm
_04463_,88.52µm
_05397_,88.48µm
_12129_,88.46µm
_06334_,88.38µm
_06402_,88.36µm
_03539_,88.32µm
_19917_,88.32µm
net454,88.32µm
clknet_leaf_107_clk,88.29µm
_22766_,88.28µm
net1704,88.28µm
_08686_,88.26µm
_07577_,88.24µm
clknet_leaf_83_clk,88.24µm
_00787_,88.2µm
_12219_,88.12µm
net1116,88.08µm
_04865_,88.04µm
_06236_,88.04µm
_07462_,88.04µm
_07882_,88.04µm
_07466_,88.02µm
_15090_,88.02µm
_08571_,87.97µm
pq_enq_key_r\[6\],87.94µm
clknet_leaf_81_clk,87.92µm
net1828,87.91µm
clknet_leaf_176_clk,87.91µm
_04904_,87.9µm
net1852,87.89µm
_08817_,87.87µm
net1521,87.87µm
net96,87.84µm
_19670_,87.82µm
_20459_,87.76µm
_11198_,87.74µm
_17353_,87.7µm
u_ctrl.tick_count\[6\],87.665µm
net118,87.66µm
clknet_leaf_140_clk,87.66µm
_19860_,87.64µm
_22907_,87.62µm
net1866,87.61µm
_16089_,87.6µm
net1586,87.56µm
clknet_leaf_283_clk,87.56µm
_03242_,87.515µm
clknet_leaf_290_clk,87.5µm
net43,87.46µm
_03575_,87.44µm
_05558_,87.42µm
clknet_leaf_92_clk,87.38µm
clknet_leaf_26_clk,87.36µm
clknet_leaf_169_clk,87.33µm
u_ctrl.tick_count\[2\],87.26µm
_08081_,87.255µm
_06691_,87.24µm
_20701_,87.22µm
_03386_,87.19µm
_05488_,87.12µm
_06266_,87.12µm
_14576_,87.12µm
net371,87.12µm
_19928_,87.1µm
net1769,87.04µm
clknet_leaf_94_clk,87.04µm
_03696_,87.02µm
_08447_,86.97µm
clknet_leaf_322_clk,86.96µm
_12118_,86.95µm
u_ctrl.pending_task_id\[3\],86.92µm
clknet_leaf_217_clk,86.92µm
u_uart_apb.cmd_wdata\[21\],86.84µm
_00864_,86.82µm
_05448_,86.82µm
clknet_leaf_182_clk,86.8µm
_20692_,86.78µm
_22152_,86.76µm
clknet_leaf_154_clk,86.76µm
_08907_,86.72µm
_04807_,86.71µm
_04433_,86.7µm
_08224_,86.7µm
clknet_leaf_53_clk,86.7µm
net1568,86.68µm
_06498_,86.62µm
_21441_,86.62µm
_06284_,86.56µm
_09910_,86.54µm
net121,86.54µm
net1860,86.54µm
_17790_,86.52µm
_07889_,86.44µm
_08295_,86.42µm
clknet_leaf_4_clk,86.42µm
clknet_leaf_196_clk,86.42µm
clknet_leaf_243_clk,86.42µm
net1435,86.41µm
_04733_,86.4µm
_04000_,86.32µm
_08434_,86.32µm
clknet_leaf_115_clk,86.32µm
_20514_,86.28µm
_03356_,86.2µm
u_ctrl.u_task_table.remaining_wcet_mem\[7\]\[0\],86.14µm
net1361,86.12µm
clknet_leaf_337_clk,86.06µm
_05871_,86.05µm
_04199_,86.02µm
_13157_,86.02µm
u_uart_apb.rx_data\[3\],86.02µm
net20,86.02µm
_04070_,86µm
_13030_,86µm
net1560,86µm
_06299_,85.98µm
_17949_,85.98µm
_16079_,85.97µm
clknet_leaf_146_clk,85.92µm
net1420,85.9µm
clknet_leaf_67_clk,85.9µm
_07496_,85.88µm
_16584_,85.86µm
net1068,85.8µm
_17268_,85.74µm
_08747_,85.73µm
_04788_,85.72µm
pq_enq_key_r\[5\],85.72µm
net479,85.72µm
_03317_,85.68µm
u_pq.cell_key_w\[2\]\[6\],85.64µm
net1222,85.64µm
clknet_leaf_232_clk,85.62µm
clknet_leaf_16_clk,85.54µm
net1584,85.53µm
_09701_,85.48µm
_05363_,85.47µm
clknet_leaf_265_clk,85.46µm
_06777_,85.38µm
_05817_,85.36µm
_17000_,85.36µm
u_ctrl.pending_task_id\[1\],85.24µm
net89,85.22µm
clknet_leaf_65_clk,85.22µm
u_ctrl.pending_task_id\[0\],85.18µm
_05071_,85.14µm
clknet_leaf_321_clk,85.12µm
_06263_,85.08µm
_06679_,85.08µm
clknet_leaf_159_clk,85.02µm
net1806,85.01µm
net1823,84.95µm
_09711_,84.84µm
_07944_,84.82µm
_13641_,84.82µm
clknet_leaf_52_clk,84.76µm
_06017_,84.74µm
_09712_,84.72µm
net240,84.7µm
_09639_,84.68µm
_11493_,84.62µm
clknet_leaf_36_clk,84.62µm
_07016_,84.54µm
net1084,84.54µm
u_pq.cell_key_w\[5\]\[13\],84.52µm
_15769_,84.5µm
_09689_,84.44µm
clknet_leaf_3_clk,84.42µm
_00753_,84.36µm
_04839_,84.36µm
_06272_,84.36µm
_09155_,84.36µm
u_pq.cell_key_w\[1\]\[15\],84.32µm
_12406_,84.3µm
net332,84.3µm
_06631_,84.28µm
net286,84.23µm
_22006_,84.22µm
u_uart_apb.rx_data\[1\],84.22µm
clknet_leaf_235_clk,84.22µm
net1585,84.21µm
net1562,84.17µm
_06809_,84.15µm
_15772_,84.12µm
net1076,84.1µm
_03065_,84.08µm
net758,84.08µm
clknet_leaf_21_clk,84.08µm
clknet_leaf_230_clk,84.08µm
_09238_,84.06µm
_03404_,84.04µm
net1353,84.03µm
_09580_,84.02µm
_19589_,84.02µm
net1750,84.01µm
net1550,84µm
clknet_leaf_23_clk,84µm
clknet_leaf_145_clk,84µm
_16091_,83.915µm
_06225_,83.9µm
_13743_,83.9µm
_05189_,83.88µm
net290,83.86µm
_03546_,83.82µm
net124,83.82µm
_05286_,83.78µm
_07102_,83.78µm
_14755_,83.78µm
clknet_leaf_168_clk,83.765µm
_09674_,83.76µm
_12989_,83.76µm
net1461,83.72µm
_20154_,83.7µm
clknet_leaf_306_clk,83.7µm
_14771_,83.66µm
clknet_leaf_147_clk,83.66µm
u_ctrl.u_task_table.remaining_wcet_mem\[4\]\[0\],83.64µm
net762,83.64µm
_07504_,83.6µm
_03936_,83.56µm
net1542,83.51µm
_17743_,83.48µm
_05243_,83.46µm
clknet_leaf_318_clk,83.45µm
net1583,83.42µm
net1515,83.4µm
net1785,83.39µm
_17132_,83.28µm
_06389_,83.26µm
_17897_,83.26µm
net589,83.26µm
clknet_leaf_216_clk,83.24µm
_05840_,83.23µm
_08423_,83.215µm
irq_pending,83.205µm
net787,83.18µm
_19960_,83.14µm
_04538_,83.06µm
_04100_,83.04µm
clknet_leaf_112_clk,83.04µm
pq_enq_key_r\[1\],83.01µm
clknet_leaf_249_clk,83µm
_07355_,82.92µm
_20135_,82.9µm
net330,82.88µm
_00660_,82.825µm
net1820,82.82µm
net1874,82.81µm
net1519,82.79µm
_16353_,82.76µm
_20723_,82.7µm
_11966_,82.68µm
net1675,82.63µm
net107,82.59µm
_07127_,82.58µm
net1723,82.52µm
clknet_leaf_234_clk,82.52µm
net86,82.505µm
_06727_,82.48µm
pq_enq_key_r\[13\],82.48µm
u_ctrl.pending_task_id\[2\],82.48µm
_04496_,82.46µm
_04738_,82.46µm
clknet_leaf_301_clk,82.46µm
_21170_,82.4µm
u_pq.cell_key_w\[4\]\[6\],82.36µm
clknet_leaf_296_clk,82.34µm
_03429_,82.32µm
_10865_,82.32µm
_03294_,82.3µm
_17704_,82.3µm
net854,82.28µm
net77,82.24µm
net808,82.24µm
_16565_,82.18µm
_20150_,82.18µm
_03291_,82.12µm
net526,82.08µm
_16782_,82.02µm
_18151_,81.92µm
net1379,81.9µm
_22994_,81.89µm
_05752_,81.88µm
_05891_,81.88µm
net1396,81.86µm
_17141_,81.8µm
clknet_leaf_211_clk,81.8µm
clknet_leaf_260_clk,81.78µm
_06880_,81.68µm
_07839_,81.66µm
clknet_leaf_69_clk,81.64µm
net1386,81.59µm
_20707_,81.56µm
net488,81.42µm
_00797_,81.405µm
_21014_,81.4µm
_10861_,81.38µm
net1587,81.33µm
_03772_,81.28µm
net1864,81.26µm
u_ctrl.tick_count\[7\],81.225µm
_11552_,81.22µm
_22838_,81.12µm
u_uart_apb.cmd_wdata\[5\],81.07µm
_06596_,81.04µm
u_sq.cnt_mem\[7\]\[12\],81.04µm
_19672_,80.96µm
net1433,80.95µm
_03559_,80.92µm
_09634_,80.92µm
apb_pwdata\[23\],80.92µm
irq_reason\[2\],80.92µm
_17317_,80.88µm
net1693,80.84µm
_07586_,80.82µm
net850,80.82µm
net849,80.79µm
_00745_,80.78µm
_11096_,80.78µm
_14566_,80.78µm
_05497_,80.76µm
_12773_,80.72µm
_04076_,80.7µm
_09164_,80.7µm
_11257_,80.7µm
net1816,80.68µm
_17304_,80.66µm
_22227_,80.66µm
_08050_,80.64µm
net1639,80.62µm
_10740_,80.6µm
net563,80.56µm
_19029_,80.5µm
pq_enq_key_r\[9\],80.44µm
net1748,80.44µm
net961,80.42µm
_17767_,80.4µm
_13829_,80.34µm
_20131_,80.34µm
net544,80.34µm
_00752_,80.32µm
u_ctrl.tt_wr_abs_deadline\[2\],80.3µm
_06386_,80.26µm
_22350_,80.26µm
_19877_,80.22µm
net1122,80.22µm
net1161,80.22µm
_17192_,80.2µm
_03130_,80.14µm
_03798_,80.14µm
_03736_,80.08µm
_07402_,80.03µm
cmd_word\[27\],80.02µm
clknet_leaf_256_clk,79.98µm
_15770_,79.94µm
clknet_leaf_297_clk,79.94µm
_06452_,79.93µm
_12708_,79.92µm
_14620_,79.9µm
net974,79.9µm
net798,79.88µm
clknet_leaf_237_clk,79.84µm
net78,79.83µm
net64,79.765µm
_07637_,79.76µm
_05611_,79.72µm
_10028_,79.72µm
pq_enq_key_r\[8\],79.7µm
_16076_,79.68µm
clknet_leaf_153_clk,79.68µm
_06744_,79.64µm
_14967_,79.6µm
clknet_leaf_257_clk,79.6µm
net1107,79.56µm
_12311_,79.54µm
_09140_,79.525µm
_18380_,79.48µm
_22464_,79.46µm
_07980_,79.43µm
net599,79.42µm
net1404,79.4µm
clknet_leaf_188_clk,79.4µm
_00654_,79.26µm
_06757_,79.26µm
_15058_,79.18µm
_19566_,79.165µm
_11969_,79.12µm
net109,79.12µm
u_pq.cell_key_w\[4\]\[10\],79.1µm
_09684_,79.08µm
net1009,79.08µm
net1787,79.08µm
_16893_,79.06µm
_21957_,79.06µm
net1503,79.06µm
_07951_,78.98µm
_06526_,78.97µm
net56,78.96µm
_04262_,78.94µm
net1118,78.92µm
_19873_,78.88µm
_19599_,78.875µm
_00791_,78.86µm
_22058_,78.75µm
net1115,78.64µm
clknet_leaf_49_clk,78.61µm
_06964_,78.58µm
_23023_,78.58µm
_09093_,78.56µm
_16097_,78.55µm
net1357,78.54µm
_03996_,78.51µm
_21343_,78.46µm
net530,78.4µm
_06966_,78.38µm
_19516_,78.38µm
net1060,78.38µm
_22615_,78.32µm
_16795_,78.28µm
_08959_,78.26µm
_17765_,78.26µm
_05130_,78.24µm
clknet_leaf_215_clk,78.18µm
net301,78.15µm
_15781_,78.12µm
apb_pwdata\[13\],78.12µm
net1117,78.04µm
_06349_,78.02µm
_07057_,77.98µm
_11293_,77.965µm
_07662_,77.96µm
_19661_,77.94µm
_10323_,77.92µm
_11359_,77.92µm
clknet_leaf_327_clk,77.9µm
_05601_,77.84µm
_17143_,77.8µm
apb_pwdata\[20\],77.8µm
_03396_,77.78µm
net1520,77.75µm
_05902_,77.74µm
_06412_,77.74µm
_04598_,77.7µm
_21552_,77.7µm
net1656,77.67µm
_08031_,77.66µm
_17160_,77.66µm
_00473_,77.62µm
_05220_,77.6µm
_04663_,77.55µm
net1615,77.55µm
apb_pwdata\[31\],77.54µm
_22861_,77.51µm
net1824,77.47µm
_22842_,77.46µm
net1777,77.44µm
_05737_,77.42µm
_13786_,77.42µm
_05778_,77.36µm
net1688,77.35µm
clknet_leaf_91_clk,77.34µm
_17343_,77.33µm
u_uart_apb.cmd_wdata\[19\],77.29µm
net1876,77.22µm
_10474_,77.17µm
_11905_,77.16µm
_00661_,77.1µm
_06247_,77.1µm
_07609_,77.06µm
net1033,77.06µm
_04438_,77.025µm
_07514_,77.02µm
_12412_,77.02µm
net852,77.02µm
_17630_,76.995µm
_00927_,76.985µm
net552,76.98µm
_10931_,76.96µm
_22857_,76.96µm
_07219_,76.95µm
_05994_,76.88µm
net1,76.88µm
_21658_,76.86µm
net1408,76.82µm
_16958_,76.78µm
net1555,76.75µm
_03505_,76.72µm
net1794,76.68µm
_06543_,76.66µm
_07431_,76.62µm
net1646,76.46µm
_00773_,76.42µm
net1552,76.42µm
net1772,76.4µm
_07522_,76.38µm
net1597,76.37µm
u_sq.cnt_mem\[1\]\[10\],76.36µm
_00662_,76.26µm
net1392,76.26µm
_04895_,76.24µm
_12449_,76.22µm
cmd_word2\[28\],76.175µm
net1015,76.16µm
pq_enq_id_r\[0\],76.1µm
_06308_,76.08µm
_05515_,75.995µm
_19018_,75.985µm
_15750_,75.98µm
_12275_,75.97µm
_06298_,75.94µm
net972,75.9µm
_05097_,75.88µm
net791,75.86µm
_04450_,75.8µm
_20868_,75.74µm
_22546_,75.72µm
net803,75.72µm
_12269_,75.66µm
net1456,75.66µm
_20442_,75.655µm
_03722_,75.64µm
_18172_,75.62µm
_08728_,75.6µm
_18809_,75.6µm
_06887_,75.58µm
u_ctrl.flags_reg\[7\],75.58µm
net1858,75.58µm
net1504,75.57µm
_09649_,75.48µm
net61,75.42µm
_08101_,75.39µm
_05708_,75.36µm
u_sq.valid_mem\[10\]\[0\],75.33µm
_19926_,75.32µm
_05072_,75.28µm
_16909_,75.24µm
net693,75.2µm
net1411,75.13µm
_22934_,75.08µm
net1508,75.05µm
_18180_,75.03µm
net1795,75.01µm
net1814,75µm
_18341_,74.99µm
_06934_,74.98µm
_17748_,74.94µm
_06238_,74.9µm
net1376,74.8µm
net120,74.78µm
net1070,74.78µm
_18273_,74.76µm
_06651_,74.72µm
_09153_,74.72µm
_22365_,74.72µm
_06698_,74.7µm
_17863_,74.66µm
net1092,74.66µm
_16579_,74.625µm
net1342,74.59µm
_22852_,74.58µm
net100,74.58µm
_08568_,74.54µm
_05113_,74.5µm
_16802_,74.49µm
pq_head_key\[5\],74.48µm
net1491,74.43µm
_05600_,74.4µm
_20198_,74.39µm
clknet_leaf_18_clk,74.36µm
_09475_,74.295µm
_05723_,74.27µm
net1469,74.27µm
_09526_,74.22µm
clknet_leaf_117_clk,74.2µm
_00766_,74.16µm
_06823_,74.16µm
net1607,74.15µm
_12112_,74.14µm
_22882_,74.14µm
pq_head_key\[6\],74.14µm
_04791_,74.1µm
net600,74.1µm
net1366,74.03µm
_05104_,74.02µm
_14554_,74.02µm
_21057_,74µm
_11647_,73.86µm
_09198_,73.84µm
net1761,73.8µm
_10006_,73.78µm
u_scan.scan_reg\[45\],73.78µm
net1089,73.78µm
net965,73.76µm
u_uart_apb.cmd_wdata\[9\],73.7µm
net561,73.7µm
_04846_,73.64µm
_09044_,73.64µm
_20697_,73.62µm
_00567_,73.6µm
u_uart_apb.cmd_wdata\[10\],73.6µm
_03484_,73.58µm
_20199_,73.57µm
_12441_,73.56µm
_06387_,73.52µm
_22439_,73.51µm
u_pq.cell_key_w\[5\]\[7\],73.48µm
net1512,73.48µm
net1529,73.47µm
_13245_,73.44µm
_12294_,73.42µm
_00770_,73.38µm
_08682_,73.38µm
_13204_,73.38µm
_22898_,73.36µm
_16848_,73.32µm
net1394,73.32µm
net1058,73.3µm
net296,73.28µm
net1817,73.28µm
_20877_,73.24µm
_08380_,73.225µm
_03964_,73.22µm
net532,73.22µm
_05677_,73.18µm
_06821_,73.18µm
_16106_,73.16µm
_16759_,73.16µm
_04700_,73.14µm
net925,73.12µm
u_uart_apb.u_uart_rx.rx_sync2,73.08µm
clknet_leaf_276_clk,73.08µm
_07201_,73.02µm
_21110_,72.99µm
_12021_,72.98µm
cmd_word2\[25\],72.97µm
_18876_,72.96µm
_15787_,72.91µm
_16070_,72.9µm
_04458_,72.86µm
_09523_,72.84µm
net1340,72.77µm
_06608_,72.74µm
u_uart_apb.cmd_write,72.72µm
net497,72.7µm
net1343,72.65µm
net1377,72.63µm
_19963_,72.62µm
_05528_,72.6µm
_08405_,72.575µm
u_ctrl.u_task_table.remaining_wcet_mem\[0\]\[0\],72.56µm
net1753,72.55µm
_08210_,72.54µm
_08709_,72.51µm
_06257_,72.5µm
_07935_,72.5µm
u_ctrl.u_task_table.remaining_wcet_mem\[12\]\[0\],72.5µm
net1364,72.44µm
_09528_,72.42µm
net88,72.415µm
_00778_,72.4µm
_07047_,72.4µm
clknet_leaf_343_clk,72.38µm
_19236_,72.34µm
_21016_,72.32µm
net1419,72.25µm
_15784_,72.24µm
_16395_,72.22µm
net1667,72.21µm
_16888_,72.2µm
_05408_,72.17µm
_04265_,72.165µm
_06344_,72.16µm
_12972_,72.16µm
net1759,72.16µm
net1533,72.14µm
net1865,72.11µm
_07300_,72.1µm
_21664_,72.1µm
_22138_,72.08µm
_16746_,72.06µm
u_ctrl.u_task_table.remaining_wcet_mem\[8\]\[0\],72.06µm
_04645_,72.02µm
_10356_,72.02µm
_12476_,72.02µm
_07109_,72.01µm
_09444_,72µm
net999,72µm
_03727_,71.99µm
_05230_,71.98µm
_11773_,71.96µm
_23024_,71.96µm
_08001_,71.94µm
_09123_,71.94µm
net1423,71.94µm
_17381_,71.92µm
u_pq.cell_id_w\[4\]\[2\],71.9µm
_03785_,71.88µm
_16094_,71.86µm
_11923_,71.82µm
u_uart_apb.cmd_wdata\[6\],71.8µm
_05745_,71.76µm
net799,71.7µm
u_sq.cnt_mem\[12\]\[27\],71.66µm
net1691,71.66µm
net1809,71.65µm
_17876_,71.58µm
_14340_,71.56µm
_08414_,71.555µm
_21294_,71.54µm
_17042_,71.52µm
clknet_leaf_240_clk,71.52µm
_19634_,71.5µm
_07068_,71.46µm
_17993_,71.46µm
net1113,71.46µm
_06639_,71.44µm
u_ctrl.tick_count\[20\],71.4µm
_06229_,71.37µm
_03373_,71.34µm
_11657_,71.31µm
_03466_,71.3µm
net1546,71.29µm
_09018_,71.28µm
pq_enq_key_r\[11\],71.28µm
net681,71.28µm
_12479_,71.22µm
_20217_,71.22µm
u_uart_apb.cmd_addr\[3\],71.22µm
net598,71.2µm
_16576_,71.14µm
u_ctrl.tt_wr_priority\[3\],71.14µm
net1859,71.11µm
_16976_,71.08µm
net912,71.08µm
_12276_,71.04µm
clknet_leaf_51_clk,71.04µm
_07989_,70.98µm
u_sq.id_mem\[11\]\[0\],70.98µm
net256,70.96µm
_15747_,70.94µm
net1083,70.94µm
_16865_,70.92µm
net680,70.87µm
u_uart_apb.cmd_wdata\[18\],70.86µm
_06845_,70.84µm
_06614_,70.82µm
_22073_,70.82µm
net1580,70.8µm
_21466_,70.78µm
_11997_,70.74µm
_15753_,70.68µm
net1384,70.66µm
_04868_,70.62µm
_07749_,70.62µm
_11947_,70.6µm
_12692_,70.56µm
_19719_,70.56µm
_07656_,70.5µm
_17654_,70.48µm
clknet_leaf_294_clk,70.48µm
_17269_,70.46µm
_08417_,70.425µm
_17590_,70.42µm
_17609_,70.42µm
_18907_,70.4µm
pq_head_key\[2\],70.4µm
_21332_,70.38µm
net1706,70.34µm
_00729_,70.3µm
_06162_,70.28µm
_14742_,70.24µm
_09644_,70.22µm
_12967_,70.2µm
apb_pwdata\[8\],70.2µm
net547,70.18µm
net369,70.16µm
net483,70.16µm
_23028_,70.1µm
net1335,70.1µm
_11467_,70µm
u_ctrl.tt_wr_priority\[1\],69.98µm
net801,69.98µm
net1827,69.96µm
_11924_,69.94µm
_17600_,69.94µm
u_sq.id_mem\[6\]\[1\],69.94µm
net1899,69.94µm
net1619,69.88µm
_23011_,69.86µm
u_pq.cell_key_w\[5\]\[10\],69.86µm
_12339_,69.805µm
_04187_,69.8µm
irq_reason\[0\],69.8µm
_07904_,69.78µm
_09659_,69.76µm
_20129_,69.76µm
_10124_,69.7µm
_06604_,69.68µm
_09624_,69.68µm
u_sq.cnt_mem\[7\]\[5\],69.68µm
net1697,69.67µm
net560,69.66µm
_07647_,69.64µm
_18345_,69.64µm
_21265_,69.64µm
u_ctrl.tick_count\[22\],69.64µm
_17943_,69.6µm
net1652,69.6µm
_08356_,69.585µm
_06958_,69.58µm
_16678_,69.58µm
pq_enq_key_r\[10\],69.56µm
_06799_,69.5µm
_16761_,69.48µm
net1517,69.48µm
net1799,69.48µm
_17258_,69.46µm
_19525_,69.46µm
_07566_,69.45µm
_06671_,69.44µm
u_pq.cell_key_w\[5\]\[9\],69.44µm
_19689_,69.43µm
irq_reason\[1\],69.42µm
_08475_,69.38µm
net60,69.38µm
_22306_,69.36µm
_05424_,69.3µm
net1465,69.3µm
_10317_,69.28µm
net1489,69.26µm
apb_pwdata\[22\],69.24µm
_15467_,69.22µm
net1768,69.2µm
clknet_leaf_210_clk,69.2µm
net1400,69.19µm
u_ctrl.u_task_table.remaining_wcet_mem\[6\]\[0\],69.12µm
clknet_leaf_201_clk,69.11µm
_07246_,69.08µm
_11835_,69.06µm
_16831_,69.02µm
_07464_,68.94µm
_17301_,68.92µm
pq_head_key\[12\],68.92µm
_03439_,68.9µm
_09129_,68.845µm
_03551_,68.82µm
_04165_,68.82µm
_06916_,68.77µm
_12424_,68.74µm
_04527_,68.72µm
_22768_,68.72µm
net898,68.7µm
net1856,68.67µm
_21826_,68.655µm
_21807_,68.62µm
net1467,68.62µm
net1425,68.6µm
u_pq.cell_key_w\[5\]\[4\],68.58µm
net1100,68.56µm
_00606_,68.52µm
net1724,68.51µm
_20088_,68.5µm
_00761_,68.495µm
net1702,68.49µm
pq_head_key\[4\],68.46µm
_22628_,68.44µm
net1644,68.44µm
_16701_,68.42µm
_22733_,68.42µm
u_uart_apb.rx_data\[0\],68.42µm
u_sq.cnt_mem\[1\]\[12\],68.4µm
_21564_,68.36µm
_12512_,68.32µm
net1680,68.32µm
_20824_,68.31µm
net1457,68.3µm
net851,68.28µm
net1630,68.24µm
_17608_,68.22µm
clknet_leaf_151_clk,68.22µm
_05121_,68.18µm
_07612_,68.18µm
_07097_,68.16µm
_10352_,68.14µm
_12368_,68.14µm
_18629_,68.14µm
_21222_,68.06µm
_05455_,68.02µm
_12019_,68.02µm
net1776,68.01µm
_20263_,68µm
_18635_,67.98µm
_19622_,67.975µm
_00951_,67.965µm
_05041_,67.96µm
_03272_,67.92µm
_09170_,67.92µm
net1445,67.91µm
net1564,67.89µm
_17773_,67.88µm
net1518,67.84µm
_14709_,67.81µm
_06630_,67.79µm
cmd_word\[30\],67.78µm
_08975_,67.74µm
_16670_,67.7µm
_07509_,67.66µm
net1747,67.64µm
_21726_,67.62µm
net1345,67.62µm
net735,67.6µm
net1829,67.59µm
_21706_,67.58µm
_00734_,67.56µm
_09654_,67.56µm
clknet_leaf_342_clk,67.55µm
pq_head_key\[3\],67.53µm
_22059_,67.52µm
_16985_,67.48µm
_07550_,67.46µm
_16789_,67.44µm
net1690,67.42µm
net1606,67.41µm
_07107_,67.38µm
_05560_,67.36µm
_11818_,67.34µm
_07286_,67.3µm
_10101_,67.3µm
clknet_leaf_192_clk,67.26µm
net238,67.22µm
_12236_,67.19µm
_11916_,67.18µm
net1634,67.17µm
_19674_,67.15µm
_21041_,67.14µm
_05947_,67.12µm
net802,67.08µm
net1479,67.08µm
net485,67.06µm
u_uart_apb.cmd_valid,67.04µm
_08016_,67.02µm
net1603,67.02µm
_07032_,66.98µm
net1635,66.98µm
net1516,66.96µm
_13265_,66.9µm
net1393,66.84µm
_10871_,66.82µm
net951,66.8µm
_08974_,66.77µm
_00738_,66.76µm
_10562_,66.74µm
_20497_,66.72µm
net1616,66.72µm
net1548,66.65µm
_04944_,66.64µm
net1424,66.64µm
net1653,66.64µm
u_sq.valid_mem\[14\]\[0\],66.57µm
_17684_,66.56µm
_06006_,66.52µm
net1879,66.52µm
net1577,66.48µm
_20804_,66.43µm
_13788_,66.36µm
_17601_,66.36µm
net1609,66.33µm
_00756_,66.28µm
_05944_,66.26µm
net1474,66.26µm
_17180_,66.24µm
net1359,66.23µm
net1735,66.2µm
net1412,66.14µm
net1869,66.13µm
net1664,66.12µm
_10147_,66.1µm
_08127_,66.04µm
net1087,66.04µm
net144,66.02µm
net1605,66.01µm
net1796,65.98µm
_06290_,65.96µm
_06136_,65.95µm
net1535,65.92µm
_19973_,65.9µm
_06901_,65.86µm
_14671_,65.86µm
net46,65.85µm
_16458_,65.82µm
net556,65.8µm
_20792_,65.78µm
_14758_,65.73µm
_03437_,65.72µm
net555,65.7µm
net8,65.68µm
_04502_,65.62µm
_06879_,65.6µm
u_pq.cell_key_w\[5\]\[5\],65.6µm
_07972_,65.58µm
_14532_,65.58µm
net1441,65.57µm
_20759_,65.56µm
_06923_,65.54µm
_11004_,65.52µm
_05503_,65.495µm
u_pq.cell_valid_w\[5\]\[0\],65.49µm
_06640_,65.48µm
net1766,65.46µm
_21877_,65.44µm
u_uart_apb.resp_ready,65.44µm
_00743_,65.42µm
_11828_,65.42µm
_04470_,65.4µm
net515,65.37µm
_06695_,65.36µm
_16674_,65.28µm
_12249_,65.26µm
_16454_,65.18µm
u_ctrl.pending_word1\[7\],65.18µm
_00945_,65.16µm
_16707_,65.16µm
_08419_,65.145µm
_04801_,65.14µm
_21540_,65.14µm
net1718,65.13µm
_19593_,65.09µm
_20765_,65.08µm
_22513_,65.08µm
rsp_word\[29\],65.06µm
net736,65.04µm
_05150_,65.02µm
u_ctrl.u_task_table.deadline_mem\[0\]\[15\],65.02µm
_03954_,65µm
_11066_,64.94µm
_04385_,64.84µm
_10212_,64.82µm
_04578_,64.8µm
_03841_,64.78µm
_14564_,64.78µm
_06049_,64.76µm
pq_enq_id\[3\],64.76µm
apb_pwdata\[12\],64.74µm
_15375_,64.72µm
_16061_,64.72µm
_17128_,64.7µm
_07853_,64.68µm
_22620_,64.66µm
_05157_,64.62µm
u_sq.id_mem\[11\]\[1\],64.62µm
u_uart_apb.cmd_wdata\[30\],64.62µm
_19643_,64.56µm
_04565_,64.54µm
_17871_,64.54µm
_07758_,64.52µm
_22949_,64.52µm
u_uart_apb.cmd_wdata\[8\],64.52µm
