net,length_um
_15958_,325.19µm
_21104_,324.98µm
net201,324.94µm
_08321_,324.92µm
net542,324.45µm
_20862_,323.97µm
_03078_,323.86µm
net784,323.86µm
_21339_,323.74µm
net714,323.74µm
_08484_,323.64µm
cmd_word\[10\],323.5µm
net1890,323.39µm
net647,323.04µm
net226,322.99µm
_16601_,322.74µm
_15565_,322.55µm
_12415_,322.18µm
net69,321.9µm
net1189,321.82µm
_06231_,321.21µm
net650,320.91µm
_14882_,320.32µm
_22497_,319.98µm
net720,319.86µm
net584,319.84µm
net723,319.84µm
_08192_,319.7µm
_10088_,319.315µm
_19900_,317.8µm
_12477_,317.73µm
_12216_,317.42µm
_09147_,317.18µm
_15330_,316.86µm
_06700_,316.77µm
_13306_,316.16µm
net569,315.99µm
_20684_,315.96µm
_20858_,315.96µm
_12469_,315.83µm
_12849_,315.53µm
_09299_,315.2µm
net1326,315.01µm
_13367_,314.83µm
_10391_,314.635µm
_08446_,314.2µm
net519,313.88µm
_03066_,313.42µm
_20798_,313.12µm
net1173,313.06µm
_22450_,312.94µm
net228,312.92µm
net464,312.69µm
_08353_,312.66µm
_09996_,312.54µm
net400,312.24µm
net715,312.09µm
_15472_,311.57µm
net375,311.25µm
_21033_,311.06µm
_15582_,311.04µm
_08795_,311µm
_17925_,310.96µm
_03070_,310.635µm
_12211_,310.625µm
_10638_,310.52µm
_20856_,309.96µm
_19840_,309.95µm
net696,309.86µm
_15197_,309.54µm
_15548_,309.36µm
net1262,309.2µm
net664,308.69µm
net548,308.58µm
net157,308.32µm
net651,308.3µm
_12337_,308.25µm
net615,308.1µm
_12398_,307.67µm
net565,307.61µm
net1288,307.58µm
net1895,307.1µm
_15886_,307.08µm
_19802_,307.07µm
_14606_,307µm
net1200,306.5µm
net873,306.34µm
net872,306.16µm
net234,306.015µm
sq_enq_counter\[15\],305.93µm
clknet_5_22__leaf_clk,305.67µm
_12072_,305.66µm
_09990_,305.24µm
net137,305.075µm
_22258_,305.03µm
_06169_,305.01µm
cmd_word2\[13\],304.95µm
net518,304.74µm
_03067_,304.665µm
_09482_,304.6µm
_19723_,304.36µm
_22088_,303.35µm
_08978_,303.32µm
_04268_,303.08µm
net619,302.93µm
net1318,302.86µm
net1775,302.82µm
_19454_,302.59µm
sq_enq_counter\[14\],302.56µm
net616,302.54µm
net385,302.315µm
_09721_,302.24µm
_04234_,302.02µm
_15994_,301.71µm
_12370_,301.62µm
_13114_,301.49µm
net1316,301.48µm
sq_enq_counter\[19\],301.3µm
_14719_,301.04µm
_15143_,300.92µm
_22080_,300.5µm
net1889,300.41µm
net1025,300.25µm
net1177,299.51µm
_21066_,299.44µm
net710,298.98µm
_15832_,298.35µm
_12827_,298.14µm
net1259,298.01µm
_03900_,297.98µm
_08537_,297.52µm
net367,297.42µm
net67,297.39µm
net1268,297.16µm
_19216_,296.88µm
net1308,296.78µm
_04225_,296.56µm
_08450_,296.5µm
net344,296.38µm
_12726_,295.64µm
_15096_,295.63µm
_09974_,295.57µm
_14612_,295.08µm
net221,295.075µm
_11719_,294.52µm
net416,294.44µm
net608,294.215µm
_20847_,294.19µm
net1214,294.01µm
_12569_,293.9µm
net326,293.62µm
_12273_,293.49µm
_12744_,293.48µm
_08699_,293.3µm
_09263_,293.1µm
_08790_,292.83µm
_17804_,292.66µm
_20800_,292.12µm
_19887_,291.92µm
_09504_,291.85µm
net590,291.58µm
_15701_,291.2µm
net129,291.1µm
_19494_,291.06µm
clknet_5_27__leaf_clk,291µm
_14689_,290.98µm
u_ctrl.tt_wr_id\[1\],290.38µm
_05307_,290.32µm
_17478_,290.14µm
_11952_,290.105µm
net1300,289.9µm
_09735_,289.75µm
_14648_,289.71µm
_08242_,289.57µm
net1230,289.54µm
_08680_,289.37µm
_08334_,289.36µm
_21188_,289.3µm
_19450_,289.29µm
_15814_,289.13µm
clknet_5_0__leaf_clk,289.1µm
_15179_,289.08µm
_13819_,289.06µm
net1315,289.06µm
net72,288.98µm
_03655_,288.57µm
net285,288.51µm
_15269_,288.2µm
_12581_,288.06µm
_12223_,288.025µm
_19596_,287.995µm
_14681_,287.96µm
_09556_,287.95µm
_15718_,287.725µm
clknet_5_25__leaf_clk,287.64µm
_09777_,287.59µm
_19526_,287.49µm
_17470_,287.36µm
_22158_,287.29µm
net1233,287.26µm
_13422_,287.21µm
_09291_,287.19µm
_12399_,287.105µm
net639,286.98µm
_15323_,286.9µm
_03832_,286.76µm
net220,286.54µm
_04227_,286.06µm
cmd_word2\[14\],285.99µm
net1298,285.92µm
net62,285.57µm
net1323,285.46µm
_19505_,285.145µm
_03752_,284.98µm
net1527,284.96µm
_13366_,284.9µm
net1157,284.62µm
net770,284.49µm
cmd_word2\[4\],283.97µm
net721,283.94µm
net156,283.755µm
_12060_,283.68µm
sq_enq_counter\[16\],283.62µm
net147,283.56µm
net1317,283.34µm
_14416_,283.33µm
_22319_,283.07µm
net210,283.04µm
_17477_,283.03µm
_22519_,282.92µm
_14627_,282.76µm
_14950_,282.34µm
net1271,282.18µm
_20940_,281.57µm
net1286,281.53µm
net1888,281.51µm
net653,280.78µm
_19892_,280.75µm
_15922_,280.555µm
_15650_,280.54µm
u_sq.valid_mem\[5\]\[0\],280.505µm
_15514_,280.43µm
_15233_,280.16µm
_08544_,279.94µm
net1307,279.52µm
_09995_,279.44µm
_20813_,279.1µm
net665,278.92µm
_03069_,278.82µm
_17356_,278.82µm
_10625_,278.2µm
net510,278.19µm
_12808_,278.12µm
net617,277.83µm
_08391_,277.8µm
_08586_,277.7µm
_19479_,277.51µm
_10628_,277.26µm
_17015_,277.16µm
_19465_,277.14µm
cmd_word2\[15\],277.12µm
_21708_,276.67µm
_10976_,276.42µm
net71,276.38µm
_15599_,276.2µm
_11261_,276.1µm
cmd_word2\[12\],275.94µm
net1133,275.72µm
net1104,275.7µm
_12237_,275.51µm
_09010_,275.5µm
net1206,275.44µm
u_ctrl.tt_wr_id\[2\],275.28µm
_06813_,275.22µm
net716,275.03µm
net1325,274.96µm
_17912_,274.92µm
net1213,274.87µm
_20867_,274.8µm
_18346_,274.74µm
_09253_,274.55µm
_07592_,274.4µm
_20861_,274.4µm
_08756_,274.06µm
_11492_,273.86µm
net160,273.65µm
_15305_,273.59µm
_08460_,273.395µm
_12015_,273.39µm
_19504_,272.835µm
net1207,272.81µm
_14667_,272.65µm
_09027_,272.58µm
_12331_,272.58µm
net30,272.56µm
_22593_,272.25µm
net1774,272.23µm
_08814_,272.22µm
_16048_,271.98µm
_09985_,271.63µm
_06882_,271.43µm
_12333_,271.25µm
net1192,271.24µm
_22267_,271.04µm
_10675_,270.89µm
_14714_,270.74µm
net65,270.68µm
_22123_,270.62µm
_04231_,270.24µm
_14642_,270.23µm
_19309_,270.17µm
_12694_,269.8µm
_00024_,269.76µm
_10673_,269.76µm
net1305,269.76µm
_09805_,269.62µm
_20134_,269.555µm
cmd_word2\[9\],269.39µm
net473,269.29µm
net1187,269.11µm
_20079_,268.94µm
net982,268.93µm
_06194_,268.91µm
net66,268.72µm
_12451_,268.44µm
net1303,268.19µm
_05743_,267.65µm
_15531_,266.88µm
net446,266.88µm
_15092_,266.8µm
_12253_,266.72µm
_03185_,266.54µm
net125,266.45µm
_08151_,266.11µm
_08429_,265.8µm
_05813_,265.68µm
net466,265.63µm
_11267_,264.79µm
_22555_,264.3µm
_14728_,264.26µm
_08396_,264.22µm
_09246_,264.01µm
net1134,263.9µm
_19534_,263.88µm
_20894_,263.75µm
net1226,263.63µm
net988,263.28µm
net670,262.95µm
_21026_,262.92µm
_07546_,262.81µm
_15868_,262.71µm
net855,262.54µm
net1270,262.41µm
_04669_,262.4µm
_14705_,262.14µm
_16360_,262.14µm
_11144_,262.1µm
_07529_,261.98µm
_20500_,261.93µm
net1277,261.7µm
_14683_,261.55µm
_15001_,261.52µm
_20696_,261.43µm
_14650_,261.4µm
net582,261.39µm
net1245,261.37µm
_15161_,261.11µm
_07564_,260.9µm
_12549_,260.86µm
_10448_,260.75µm
